run_id,timestamp,hypothesis,changed_variables,seed,vocab_size,context_length,stride,batch_size,epochs,steps_per_epoch,max_steps,learning_rate,weight_decay,grad_clip,emb_dim,n_heads,n_layers,drop_rate,qkv_bias,ffn_mult,norm_first,norm_eps,activation_name,ffn_dropout_position,attention_impl,tie_embeddings,init_std,final_train_loss,final_val_loss,final_generalization_gap,generalization_gap_delta,train_val_improvement_gap,overfit_score,fit_status,parameter_count,tokens_per_sec,elapsed_sec,device,artifact_dir
11,2026-06-02T19:48:53+00:00,"gelu_exact 활성함수 단일축 비교: run 008의 quick_gelu가 현재 best이고 run 010의 silu는 generalizing이지만 validation loss와 overfit_score가 약간 나빴다. 같은 seed=151, tie_embeddings=True 기준선에서 activation_name만 gelu_exact로 바꾸면 GELU 계열 내부에서 근사 quick_gelu의 이득이 계산 근사/속도 효과인지, exact GELU에서도 유지되는 안정성인지 분리해 확인할 수 있다.","{""activation_name"": ""gelu_exact""}",151,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,gelu_exact,after_output,manual,True,0.02,5.707884311676025,5.754852056503296,0.04696774482727051,0.04625105857849121,0.04625105857849121,0.13946986198425293,generalizing,481024,27807.857737654744,0.7180704169441015,mps,docs/train/runs/run_011_artifacts
12,2026-06-02T19:53:28+00:00,"quick_gelu seed variance 검증: run 008은 seed=151에서 현재 best였고 gelu_exact(run 011)는 거의 같은 수준이지만 미세하게 뒤졌다. quick_gelu의 우세가 특정 seed의 우연인지 확인하기 위해, 구조와 학습 조건은 run 008과 동일하게 유지하고 seed만 202로 바꿔 validation loss, gap, overfit_score의 흔들림을 측정한다.","{""seed"": 202}",202,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,after_output,manual,True,0.02,5.720723867416382,5.769758224487305,0.04903435707092285,0.06879293918609619,0.06879293918609619,0.18662023544311523,overfit_risk,481024,29992.273970558083,0.6657714589964598,mps,docs/train/runs/run_012_artifacts
13,2026-06-02T19:58:38+00:00,drop_rate 정규화 단일축 테스트: quick_gelu seed=202 반복(run 012)은 final_val_loss가 악화되고 overfit_score가 0.1866까지 상승해 seed 민감성과 과적합 위험을 드러냈다. 같은 seed=202와 quick_gelu 설정을 유지하고 drop_rate만 0.10에서 0.15로 올리면 train 쪽 과도한 개선을 누그러뜨려 overfit_score와 train_val_improvement_gap을 낮출 수 있다.,"{""drop_rate"": 0.15}",202,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.15,False,4,False,1e-05,quick_gelu,after_output,manual,True,0.02,5.725237846374512,5.774077653884888,0.04883980751037598,0.06859838962554932,0.06859838962554932,0.1860365867614746,overfit_risk,481024,26517.17408092089,0.7530214169528335,mps,docs/train/runs/run_013_artifacts
14,2026-06-02T20:03:27+00:00,"learning_rate 하향 최적화 단일축 테스트: quick_gelu seed=202 계열은 run 012와 run 013에서 모두 overfit_risk였고, drop_rate=0.15는 validation loss를 더 악화시켰다. dropout을 기준값 0.10으로 되돌리고 learning_rate만 0.0003에서 0.0002로 낮추면 train loss가 너무 빠르게 내려가며 validation 개선을 앞지르는 현상을 줄여 overfit_score와 train_val_improvement_gap을 낮출 수 있다.","{""learning_rate"": 0.0002}",202,600,64,,8,2.666667,15,40,0.0002,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,after_output,manual,True,0.02,5.913574934005737,5.956626892089844,0.043051958084106445,0.06281054019927979,0.06281054019927979,0.16867303848266602,overfit_risk,481024,34268.86128823347,0.5826864170376211,mps,docs/train/runs/run_014_artifacts
15,2026-06-02T20:08:30+00:00,"max_steps 조기 중단 단일축 테스트: seed=202 quick_gelu 계열은 learning_rate를 낮추면 validation loss가 크게 악화되고, dropout을 올려도 overfit_score가 거의 줄지 않았다. learning_rate를 0.0003으로 되돌리고 max_steps만 40에서 30으로 줄이면 train 쪽 과도한 개선이 누적되기 전에 멈춰 train_val_improvement_gap과 overfit_score를 낮추면서 run 012보다 validation 손실을 덜 악화시킬 수 있다.","{""effective_max_steps"": ""30"", ""epochs"": ""2.0""}",202,600,64,,8,2.0,15,30,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,after_output,manual,True,0.02,5.859577775001526,5.912327766418457,0.05274999141693115,0.07250857353210449,0.07250857353210449,0.19776713848114014,overfit_risk,481024,29732.70002604865,0.49938283395022154,mps,docs/train/runs/run_015_artifacts
16,2026-06-02T20:13:32+00:00,"FFN dropout 위치 교체 단일축 테스트: run 008 quick_gelu seed=151이 현재 best지만 overfit_score는 0.139379로 아직 완전히 낮지는 않다. 같은 best 설정에서 ffn_dropout_position만 after_output에서 after_activation으로 바꾸면 FFN hidden activation에 직접 dropout이 걸려 train 쪽 과개선을 조금 줄이고, 구조를 바꾸지 않으면서 final_val_loss와 overfit_score의 균형을 개선할 수 있다.","{""ffn_dropout_position"": ""after_activation""}",151,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,after_activation,manual,True,0.02,5.707980751991272,5.754159450531006,0.04617869853973389,0.045470595359802246,0.045470595359802246,0.13711988925933838,generalizing,481024,30836.516588093175,0.6475439579226077,mps,docs/train/runs/run_016_artifacts
17,2026-06-02T20:18:35+00:00,"after_activation dropout 위치 효과 seed=134 재현성 검증: run 016은 seed=151에서 ffn_dropout_position=after_activation이 새 best를 만들었다. 같은 설정을 seed=134로 반복하면, 기존 seed=134 quick_gelu 기준선(run 009)의 overfit_risk가 dropout 위치 변경으로 완화되는지 확인할 수 있다.","{""seed"": 134}",134,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,after_activation,manual,True,0.02,5.719405770301819,5.754857540130615,0.03545176982879639,0.06782937049865723,0.06782937049865723,0.17111051082611084,overfit_risk,481024,29735.994007362377,0.6715094170067459,mps,docs/train/runs/run_017_artifacts
18,2026-06-02T20:23:50+00:00,"FFN dropout 자체 기여도 ablation: run 016은 quick_gelu + tie_embeddings=True + seed=151에서 ffn_dropout_position=after_activation이 현재 best를 만들었지만, run 017에서는 seed=134 재현성이 충분하지 않았다. 같은 best seed=151 설정에서 ffn_dropout_position만 none으로 바꾸면 dropout regularization 자체가 validation 성능과 overfit_score에 실제로 기여하는지 분리해서 확인할 수 있다.","{""ffn_dropout_position"": ""none""}",151,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,manual,True,0.02,5.706410646438599,5.752647876739502,0.04623723030090332,0.04552912712097168,0.04552912712097168,0.13729548454284668,generalizing,481024,31824.20402193155,0.6274469578638673,mps,docs/train/runs/run_018_artifacts
19,2026-06-02T20:28:29+00:00,"ffn_dropout_position=none seed 강건성 검증: run 018은 seed=151에서 dropout 제거가 새 best를 만들었다. 같은 quick_gelu + tie_embeddings=True + ffn_dropout_position=none 설정을 seed=134로 반복하면, dropout 제거의 이득이 seed=151에만 국한된 우연인지 아니면 seed=134의 기존 overfit_risk까지 완화하는지 확인할 수 있다.","{""seed"": 134}",134,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,manual,True,0.02,5.718900561332703,5.754166841506958,0.03526628017425537,0.06764388084411621,0.06764388084411621,0.1705540418624878,overfit_risk,481024,32477.46384287795,0.6148263330105692,mps,docs/train/runs/run_019_artifacts
20,2026-06-02T20:33:39+00:00,"학습 윈도우 stride 단일축 테스트: seed=134 계열은 dropout 위치와 제거를 바꿔도 overfit_score가 0.17대에 머물렀다. best 계열의 quick_gelu + tie_embeddings=True + ffn_dropout_position=none 설정을 유지하고 train stride만 64 상당의 기본값에서 32로 줄이면, 겹치는 학습 윈도우가 늘어나 같은 구조에서 더 많은 문맥 시작점을 보게 되어 validation loss와 train_val_improvement_gap의 균형이 개선될 수 있다.","{""stride"": 32}",134,600,64,32,8,1.37931,29,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,manual,True,0.02,5.717697978019714,5.755429744720459,0.03773176670074463,0.06712496280670166,0.06712496280670166,0.17198169231414795,overfit_risk,481024,38171.13718097376,0.536531041841954,mps,docs/train/runs/run_020_artifacts
21,2026-06-02T20:38:26+00:00,"context_length 축소 단일축 테스트: seed=134 계열은 dropout 위치, dropout 제거, stride overlap을 바꿔도 overfit_risk가 유지되었다. 같은 quick_gelu + tie_embeddings=True + ffn_dropout_position=none 설정에서 context_length만 64에서 48로 줄이면, 위치 임베딩 부담과 한 샘플당 문맥 암기 범위가 작아지고 학습/검증 윈도우 수가 늘어 seed=134의 train_val_improvement_gap과 overfit_score가 완화될 수 있다.","{""context_length"": 48}",134,600,48,,8,2.0,20,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,manual,True,0.02,5.728558659553528,5.724607149759929,-0.0039515097935991506,-0.0010497172673540334,-0.0010497172673540334,0.0,generalizing,478976,14695.420621576694,1.0125603331252933,mps,docs/train/runs/run_021_artifacts
22,2026-06-02T20:43:20+00:00,"context_length=48 seed 재현성 검증: run 021은 seed=134에서 context_length를 64에서 48로 줄이자 final_val_loss와 overfit_score가 크게 개선되어 새 best가 되었다. 같은 quick_gelu + tie_embeddings=True + ffn_dropout_position=none + context_length=48 설정을 seed=151로 반복하면, 이 개선이 seed=134의 우연인지 아니면 현재 데이터 규모에서 더 짧은 문맥이 일반적으로 유리한지 확인할 수 있다.","{""seed"": 151}",151,600,48,,8,2.0,20,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,manual,True,0.02,5.733633399009705,5.738766193389893,0.005132794380187988,0.0032844940821332713,0.0032844940821332713,0.011701782544454531,generalizing,478976,21195.674131826632,0.7020300419535488,mps,docs/train/runs/run_022_artifacts
23,2026-06-02T20:48:27+00:00,"context_length=48 어려운 seed 강건성 검증: seed=202는 context_length=64 계열에서 overfit_risk와 validation 악화를 반복했다. 같은 quick_gelu + tie_embeddings=True + ffn_dropout_position=none + context_length=48 설정을 seed=202로 실행하면, 짧은 문맥이 seed=134/151뿐 아니라 어려운 seed에서도 train_val_improvement_gap과 overfit_score를 안정화하는지 확인할 수 있다.","{""seed"": 202}",202,600,48,,8,2.0,20,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,manual,True,0.02,5.712400913238525,5.7503306070963545,0.03792969385782907,0.047526796658834414,0.047526796658834414,0.1329832871754979,generalizing,478976,25124.18043744355,0.5922581250779331,mps,docs/train/runs/run_023_artifacts
24,2026-06-02T20:53:27+00:00,"attention_impl=sdpa 구현 교체 단일축 테스트: context_length=48은 seed=134/151/202에서 모두 기존 64보다 좋은 일반화 신호를 만들었다. 이 설정을 고정하고 attention_impl만 manual에서 sdpa로 바꾸면, Transformer 구조 의미를 유지하면서 MPS에서 처리량을 개선하거나 최소한 같은 validation/overfit 품질을 유지할 수 있는지 확인할 수 있다.","{""attention_impl"": ""sdpa""}",134,600,48,,8,2.0,20,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,sdpa,True,0.02,5.728558659553528,5.724607149759929,-0.0039515097935991506,-0.0010500748952226857,-0.0010500748952226857,0.0,generalizing,478976,16421.287693074628,0.9061408750712872,mps,docs/train/runs/run_024_artifacts
25,2026-06-02T20:59:44+00:00,"context_length=48 + sdpa 기준의 activation 단일축 재비교: quick_gelu가 현재 best 계열이지만, sdpa와 짧은 문맥으로 학습 조건이 안정화된 상태에서도 gelu_exact가 validation loss와 overfit_score에서 계속 뒤처지는지 확인한다.","{""activation_name"": ""gelu_exact""}",134,600,48,,8,2.0,20,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,gelu_exact,none,sdpa,True,0.02,5.728741645812988,5.724879423777263,-0.0038622220357256154,-0.0009744962056474904,-0.0009744962056474904,0.0,generalizing,478976,22633.882407576573,0.6574214592110366,mps,docs/train/runs/run_025_artifacts
26,2026-06-02T21:03:27+00:00,"context_length=48 + sdpa 기준의 activation 계열 확장 테스트: quick_gelu와 gelu_exact가 거의 같은 low-overfit 결과를 냈지만 quick_gelu가 아직 best에 가깝다. 같은 구조와 parameter_count를 유지한 채 activation_name만 silu로 바꾸면, 더 부드러운 비단조 계열이 작은 데이터에서 train/val 균형을 개선하거나 최소한 과적합 없이 경쟁 가능한지 확인할 수 있다.","{""activation_name"": ""silu""}",134,600,48,,8,2.0,20,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,silu,none,sdpa,True,0.02,5.729202747344971,5.726201057434082,-0.003001689910888672,-0.0001957019170122365,-0.0001957019170122365,0.0,generalizing,478976,21713.692629495356,0.685281875077635,mps,docs/train/runs/run_026_artifacts
27,2026-06-02T21:08:34+00:00,"context_length=48 + sdpa 기준의 gated FFN 단일축 테스트: quick_gelu, gelu_exact, silu는 모두 low-overfit였지만 best를 갱신하지 못했고, silu는 validation이 약간 밀렸다. activation_name만 swiglu로 바꾸면 gated FFN의 value-gate 상호작용이 작은 문맥 조건에서 표현력을 높여 validation loss를 낮출 수 있는지, 그리고 추가 parameter_count가 과적합으로 이어지는지 확인할 수 있다.","{""activation_name"": ""swiglu""}",134,600,48,,8,2.0,20,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,swiglu,none,sdpa,True,0.02,5.764282464981079,5.748608907063802,-0.015673557917277314,0.006435712178547881,0.006435712178547881,0.012871424357095762,generalizing,611072,17647.33002537187,0.8431870418135077,mps,docs/train/runs/run_027_artifacts
28,2026-06-02T21:13:44+00:00,"best 계열로 복귀한 context_length 로컬 서치: run 021/024의 핵심 개선은 activation보다 context_length=48에서 발생했고, 이후 gelu_exact/silu/swiglu는 best를 갱신하지 못했다. quick_gelu + sdpa + tie_embeddings=True + ffn_dropout_position=none을 유지하고 context_length만 48에서 40으로 더 줄이면, 작은 데이터에서 위치 임베딩 부담과 문맥 암기 범위를 더 낮춰 validation loss와 overfit_score가 추가 개선될 수 있는지 확인한다.","{""activation_name"": ""quick_gelu"", ""attention_impl"": ""sdpa"", ""context_length"": 40}",134,600,40,,8,1.666667,24,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,sdpa,True,0.02,5.746422529220581,5.794515291849772,0.04809276262919138,0.06400891145070453,0.06400891145070453,0.17611058553060044,overfit_risk,477952,11758.42887947156,1.0681699169799685,mps,docs/train/runs/run_028_artifacts
29,2026-06-02T21:18:28+00:00,"context_length 경계 확인 실험: context_length=40은 overfit_risk와 validation 악화를 만들었고, context_length=48은 현재 best이다. quick_gelu + sdpa + tie_embeddings=True + ffn_dropout_position=none을 유지한 채 context_length만 56으로 늘리면, 48보다 조금 더 긴 문맥이 정보량을 보강하면서도 64-token 계열의 과적합 위험으로 돌아가지 않는지 확인할 수 있다.","{""context_length"": 56}",134,600,56,,8,2.352941,17,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,sdpa,True,0.02,5.6842135190963745,5.736375331878662,0.0521618127822876,0.052133917808532715,0.052133917808532715,0.15642964839935303,overfit_risk,480000,13566.391242370002,1.2961442498490214,mps,docs/train/runs/run_029_artifacts
30,2026-06-02T21:23:32+00:00,"context_length=48 기준의 학습 길이 단일축 테스트: context_length 40과 56은 모두 overfit_risk였고, activation/gated FFN 교체도 best를 넘지 못했다. 따라서 quick_gelu + sdpa + context_length=48을 고정하고 max_steps만 40에서 60으로 늘리면, 현재 낮은 overfit_score를 유지하면서 train/val loss를 더 낮출 수 있는지 확인한다.","{""effective_max_steps"": ""60"", ""epochs"": ""3.0""}",134,600,48,,8,3.0,20,60,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,sdpa,True,0.02,5.567537546157837,5.588832537333171,0.021294991175333955,0.02419642607371042,0.02419642607371042,0.0696878433227548,generalizing,478976,25824.554504251562,0.8642937091644853,mps,docs/train/runs/run_030_artifacts
31,2026-06-02T21:28:28+00:00,"max_steps=60 seed 재현성 검증: run 030은 context_length=48 + quick_gelu + sdpa 기준에서 max_steps를 60으로 늘리자 validation loss가 크게 개선되고 generalizing을 유지했다. 같은 설정을 seed=151로 반복하면, 이 개선이 seed=134의 우연인지 아니면 학습 길이 증가가 안정적으로 유효한지 확인할 수 있다.","{""seed"": 151}",151,600,48,,8,3.0,20,60,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,sdpa,True,0.02,5.559990763664246,5.595870176951091,0.035879413286845185,0.03403111298879047,0.03403111298879047,0.10394163926442612,generalizing,478976,26029.722435830558,0.857481291051954,mps,docs/train/runs/run_031_artifacts
32,2026-06-02T21:33:28+00:00,"max_steps=60 어려운 seed 강건성 검증: seed=134와 seed=151에서 context_length=48 + quick_gelu + sdpa + max_steps=60은 validation loss를 크게 낮추며 generalizing을 유지했다. 같은 설정을 seed=202로 반복하면, 이전에 더 불안정했던 seed에서도 학습 길이 증가가 validation 성능을 개선하면서 과적합을 감당할 수 있는지 확인한다.","{""seed"": 202}",202,600,48,,8,3.0,20,60,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,sdpa,True,0.02,5.597493886947632,5.601549784342448,0.004055897394816377,0.013653000195821718,0.013653000195821718,0.031361897786459814,generalizing,478976,27717.05300366417,0.8052804169710726,mps,docs/train/runs/run_032_artifacts
33,2026-06-02T21:38:23+00:00,"max_steps=80 학습 한계 테스트: context_length=48 + quick_gelu + sdpa 기준에서 max_steps=60은 seed=134/151/202 모두 validation을 크게 개선하며 generalizing을 유지했다. seed=202에서 max_steps만 80으로 늘리면, 더 긴 학습이 validation loss를 추가로 낮출 수 있는지 또는 과적합 신호가 급격히 커지는지 확인할 수 있다.","{""effective_max_steps"": ""80"", ""epochs"": ""4.0""}",202,600,48,,8,4.0,20,80,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,sdpa,True,0.02,5.542914152145386,5.553315162658691,0.010401010513305664,0.019998113314311006,0.019998113314311006,0.050397237141927675,generalizing,478976,28982.62558597752,1.0268220838624984,mps,docs/train/runs/run_033_artifacts
34,2026-06-02T21:44:01+00:00,"max_steps=80 seed=134 재현성 검증: run 033에서 seed=202는 max_steps=80으로 validation loss를 5.553315까지 낮추면서 gap=0.010401, overfit_score=0.050397의 generalizing 상태를 유지했다. 같은 context_length=48 + quick_gelu + sdpa 기준에서 seed만 134로 바꾸면, 80-step 이득이 특정 seed의 우연인지 아니면 현재 best 계열의 안정적인 학습 길이 효과인지 확인할 수 있다.","{""seed"": 134}",134,600,48,,8,4.0,20,80,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,none,sdpa,True,0.02,5.507128357887268,5.554664134979248,0.04753577709197998,0.050437211990356445,0.050437211990356445,0.14841020107269287,overfit_risk,478976,30653.95226521722,0.9708372917957604,mps,docs/train/runs/run_034_artifacts
